2 3924 4016 4052 4132 4164 4196
5 5012 5660 6240 8088 9644 10404
10 5320 5668 6064 7424 10524 17796
20 8640 9152 9692 11452 14708 21640
50 18788 20088 21436 25928 34196 52480
