2 3.8 3.9 4 4 4.1 4.1
5 4.9 5.5 6.1 7.9 9.4 10.2
10 5.2 5.5 5.9 7.3 10.3 17.4
20 8.4 8.9 9.5 11.2 14.4 21.1
30 11.5 12.3 13 15.6 20 28.9
40 14.8 15.8 16.8 20.2 26.1 38 
50 18.3 19.6 20.9 25.3 33.4 51.3
